place_overall,place_gender,place_category,name,club,runner_number,category_runner,event,half,finish,year,category
15,14,–,"LEACH, Matthew (GBR)",Bedford & County,19,–,Elite,01:06:07,02:17:28,2022,mass
6,6,–,"LEGESE, Birhanu (ETH)",–,3,–,Elite,01:02:14,02:06:11,2022,mass
7,7,–,"LEMMA, Sisay (ETH)",–,1,–,Elite,01:02:15,02:07:26,2022,mass
25,17,–,"MCCANN, Andrew (USA)",–,22,–,Elite,01:08:02,02:21:39,2022,mass
19,3,–,"MEGERTU, Alemu (ETH)",–,68,–,Elite,01:08:46,02:18:32,2022,mass
21,5,–,"MELLY, Joan Chelimo (ROU)",–,65,–,Elite,01:08:46,02:19:27,2022,mass
23,7,–,"NGUGI, Mary (KEN)",–,70,–,Elite,01:09:55,02:20:22,2022,mass
13,13,–,"OKAMOTO, Naoki (JPN)",–,10,–,Elite,01:05:11,02:15:05,2022,mass
–,–,–,"PAYNE, Tony Ah-Thit (THA)",Notts AC,21,–,Elite,01:07:59,–,2022,mass
8,8,–,"ROBINSON, Brett (AUS)",–,13,–,Elite,01:04:27,02:09:52,2022,mass
10,10,–,"SESEMANN, Philip (GBR)",Leeds,17,–,Elite,01:04:52,02:12:10,2022,mass
31,21,–,"STRANGEWAY, William (GBR)",Lincoln Wellington,24,–,Elite,01:09:24,02:34:11,2022,mass
33,12,–,"TWELL, Stephanie (GBR)",Aldershot Farnham & District,74,–,Elite,01:13:59,02:39:16,2022,mass
–,–,–,"WALKER, Kieran (GBR)",North East Project,27,–,Elite,01:09:44,–,2022,mass
14,1,–,"YEHUALAW, Yalemzerf (ETH)",–,63,–,Elite,01:08:46,02:17:26,2022,mass
