place_overall,place_gender,place_category,name,club,runner_number,category_runner,event,half,finish,year,category
14,14,12,"GHEBRESILASIE, Weynay (GBR)",Shettleston,19,18-39,Elite,01:05:18,02:15:41,2023,mass
–,–,–,"GRAY, Jack (GBR)",Cambridge & Coleridge,21,18-39,Elite,–,–,2023,mass
19,19,17,"GRIFFITHS, Dewi (GBR)",Swansea,12,18-39,Elite,01:05:54,02:16:51,2023,mass
–,–,–,"GRIFFITHS, Joshua (GBR)",Swansea,9,18-39,Elite,–,–,2023,mass
12,12,10,"GROSCHEL, Tom (GER)",–,14,18-39,Elite,01:05:21,02:13:29,2023,mass
–,–,–,"GUMMOW, Annabel (GBR)",Herts Pheonix,49,18-39,Elite,–,–,2023,mass
–,–,–,"HARRISON, Samantha (GBR)",Charnwood,41,18-39,Elite,–,–,2023,mass
35,11,11,"HARRISON, Samantha (GBR)",Charnwood,75,18-39,Elite,01:12:00,02:25:59,2023,mass
–,–,–,"HARVEY, Rose (GBR)",Clapham Chasers,51,18-39,Elite,–,–,2023,mass
20,1,1,"HASSAN, Sifan (NED)",–,77,18-39,Elite,01:08:40,02:18:33,2023,mass
–,–,–,"HEYES, Andrew (GBR)",Hallamshire,10,18-39,Elite,–,–,2023,mass
–,–,–,"HEYES, Lauren (GBR)",Hallamshire,48,18-39,Elite,–,–,2023,mass
23,3,3,"JEPCHIRCHIR, Peres (KEN)",–,63,18-39,Elite,01:08:29,02:18:38,2023,mass
–,–,–,"JOHNSON, Calum (GBR)",Gateshead,12,18-39,Elite,–,–,2023,mass
2,2,2,"KAMWOROR, Geoffrey (KEN)",–,10,18-39,Elite,01:01:41,02:04:23,2023,mass
–,–,–,"KEBEDE, Sutume Asefa (ETH)",–,67,18-39,Elite,01:11:30,–,2023,mass
–,–,–,"KIPRUTO, Amos (KEN)",–,1,18-39,Elite,01:01:41,–,2023,mass
1,1,1,"KIPTUM, Kelvin (KEN)",–,3,18-39,Elite,01:01:40,02:01:25,2023,mass
28,6,6,"KORIR, Judith Jeptum (KEN)",–,68,18-39,Elite,01:08:29,02:20:41,2023,mass
–,–,–,"KOSGEI, Brigid (KEN)",–,62,18-39,Elite,–,–,2023,mass
11,11,9,"LARA, Frank (USA)",–,17,18-39,Elite,01:05:14,02:13:29,2023,mass
–,–,–,"LEGESE, Birhanu (ETH)",–,4,18-39,Elite,01:01:41,–,2023,mass
–,–,–,"LEPRETRE, Alexander (GBR)",Highgate,13,18-39,Elite,–,–,2023,mass
–,–,–,"LUNN, Josh (GBR)",Cardiff,30,18-39,Elite,01:07:50,–,2023,mass
–,–,–,"MAHAMED, Mahamed (GBR)",Southampton,5,18-39,Elite,–,–,2023,mass
