place_overall,place_gender,place_category,name,club,runner_number,category_runner,event,half,finish,year,category
33,10,10,"SULLIVAN, Susanna (USA)",–,71,18-39,Elite,01:11:15,02:24:27,2023,mass
–,–,–,"SURAFEL, Paulos (GBR)",Thames Valley,34,18-39,Elite,01:05:13,–,2023,mass
30,8,8,"TESHOME, Tadu (ETH)",–,65,18-39,Elite,01:08:30,02:21:31,2023,mass
–,–,–,"THACKERY, Calli (GBR)",Hallamshire,43,18-39,Elite,–,–,2023,mass
10,10,2,"THOMPSON, Chris (GBR)",Aldershot Farnham & District,13,40-44,Elite,01:05:26,02:11:50,2023,mass
3,3,3,"TOLA, Tamirat (ETH)",–,5,18-39,Elite,01:01:41,02:04:59,2023,mass
5,5,5,"TURA, Seifu (ETH)",–,8,18-39,Elite,01:01:41,02:06:38,2023,mass
–,–,–,"TWELL, Stephanie (GBR)",Aldershot Farnham & District,42,18-39,Elite,–,–,2023,mass
–,–,–,"WALKER, Kieran (GBR)",NE Project,16,18-39,Elite,–,–,2023,mass
–,–,–,"WRIGHT, Alice (GBR)",Worcester,73,18-39,Elite,01:13:26,–,2023,mass
32,9,9,"YAREMCHUK, Sofiia (ITA)",–,81,18-39,Elite,01:11:15,02:24:02,2023,mass
25,5,5,"YEHUALAW, Yalemzerf (ETH)",–,61,18-39,Elite,01:08:30,02:18:53,2023,mass
