place_overall,place_gender,place_category,name,club,runner_number,category_runner,event,half,finish,year,category
–,–,–,"SURAFEL, Paulos (GBR)",Thames Valley,41,–,Elite,01:03:39,–,2024,mass
6,6,–,"TESFAY, Henok (ERI)",–,12,–,Elite,01:03:39,02:09:22,2024,mass
29,23,–,"THOMSON, Ryan (GBR)",Cambuslang Harriers,38,–,Elite,01:07:34,02:21:24,2024,mass
–,–,–,"TOBIN, Sean (IRL)",–,46,–,Elite,01:05:36,–,2024,mass
–,–,–,"TOLA, Tamirat (ETH)",–,3,–,Elite,01:01:29,–,2024,mass
41,29,–,"TURA, Seifu (ETH)",–,8,–,Elite,01:01:29,02:36:20,2024,mass
23,19,–,"WALKER, Kieran (GBR)",NE Project,31,–,Elite,01:07:25,02:18:32,2024,mass
–,–,–,"WOLDE, Dawit (ETH)",–,4,–,Elite,01:01:30,–,2024,mass
44,15,14,"WRIGHT, Alice (GBR)",Worcester,72,18-39,Elite,01:13:35,02:40:51,2024,mass
33,8,8,"YEHUALAW, Yalemzerf (ETH)",–,67,18-39,Elite,01:07:05,02:23:26,2024,mass
