place_overall,place_gender,place_category,name,club,runner_number,category_runner,event,half,finish,year,category
17,14,–,"HOAD, James (GBR)",Thames Hare & Hounds,37,–,Elite,01:07:25,02:16:29,2024,mass
31,25,–,"HOARE, Martin (IRL)",–,39,–,Elite,01:08:58,02:22:59,2024,mass
42,13,13,"HODGKINSON, Rachel (GBR)",Liverpool H,74,18-39,Elite,01:15:00,02:36:49,2024,mass
14,1,1,"JEPCHIRCHIR, Peres (KEN)",–,66,18-39,Elite,01:07:05,02:16:16,2024,mass
16,3,3,"JEPKOSGEI, Joyciline (KEN)",–,68,18-39,Elite,01:07:05,02:16:24,2024,mass
25,20,–,"JONES, Dominic (GBR)",Cambridge & Coleridge,34,–,Elite,01:09:03,02:19:10,2024,mass
32,7,7,"KETEMA, Tigist (ETH)",–,64,18-39,Elite,01:07:04,02:23:21,2024,mass
24,5,5,"KOSGEI, Brigid (KEN)",–,62,18-39,Elite,01:07:05,02:19:02,2024,mass
22,18,–,"LAWRENCE, Alexander (GBR)",Victoria Park & Tower Hamlets,32,–,Elite,01:07:26,02:17:41,2024,mass
12,12,–,"LEPRETRE, Alexander (GBR)",Highgate,24,–,Elite,01:07:24,02:15:34,2024,mass
39,11,11,"MACLENNAN, Mhairi (GBR)",Inverness,76,18-39,Elite,01:13:34,02:29:15,2024,mass
4,4,–,"MAHAMED, Mahamed (GBR)",Southampton,17,–,Elite,01:03:38,02:07:05,2024,mass
–,–,–,"MATEIKO, Daniel (KEN)",–,42,–,Elite,01:01:29,–,2024,mass
–,–,–,"MENGESHA, Milkesa (ETH)",–,11,–,Elite,01:01:29,–,2024,mass
–,–,–,"MILNE, Alex (GBR)",Hercules Wimbledon,27,–,Elite,01:09:15,–,2024,mass
9,9,–,"MOTSCHMANN, Johannes (GER)",–,22,–,Elite,01:03:39,02:10:39,2024,mass
1,1,–,"MUNYAO, Alexander Mutiso (KEN)",–,2,–,Elite,01:01:29,02:04:01,2024,mass
30,24,–,"MYCROFT, William (GBR)",Cambridge & Coleridge,28,–,Elite,01:09:14,02:21:48,2024,mass
7,7,–,"PFEIFFER, Hendrik (GER)",–,13,–,Elite,01:03:42,02:10:00,2024,mass
28,22,–,"SANDISON, Charlie (GBR)",Fulham,40,–,Elite,01:07:55,02:20:11,2024,mass
11,11,–,"SCOTT, Marc (GBR)",Richmond & Zetland,45,–,Elite,01:03:39,02:11:19,2024,mass
13,13,–,"SCULLION, Stephen (IRL)",–,19,–,Elite,01:06:17,02:16:04,2024,mass
10,10,–,"SHRADER, Brian (USA)",–,18,–,Elite,01:03:39,02:10:50,2024,mass
35,27,–,"SHREEVE, Norman (GBR)",Cambridge & Coleridge,26,–,Elite,01:08:12,02:24:29,2024,mass
–,–,–,"STEWART, Fraser (GBR)",Cambuslang Harriers,35,–,Elite,01:07:54,–,2024,mass
