latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.54833,13.407822,38.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),apparent_temperature (°C),wind_speed_10m (km/h)
2022-10-02T00:00,10.6,89,0.00,7.7,17.5
2022-10-02T01:00,10.4,90,0.00,7.6,17.2
2022-10-02T02:00,10.4,89,0.00,7.6,17.0
2022-10-02T03:00,10.1,90,0.00,7.1,18.8
2022-10-02T04:00,10.1,91,0.00,7.2,17.0
2022-10-02T05:00,10.3,90,0.00,7.3,18.3
2022-10-02T06:00,10.6,88,0.00,7.4,20.4
2022-10-02T07:00,12.4,81,0.00,8.5,24.8
2022-10-02T08:00,13.6,76,0.00,9.7,26.2
2022-10-02T09:00,14.6,73,0.00,10.9,25.4
2022-10-02T10:00,15.1,71,0.00,11.9,22.5
2022-10-02T11:00,16.0,68,0.00,12.4,25.2
2022-10-02T12:00,13.4,85,0.10,11.5,15.9
2022-10-02T13:00,15.1,72,0.10,12.2,19.8
2022-10-02T14:00,15.6,63,0.00,12.0,22.4
2022-10-02T15:00,15.6,58,0.00,12.2,19.4
2022-10-02T16:00,14.4,63,0.00,11.5,15.4
2022-10-02T17:00,13.1,69,0.00,10.4,14.3
2022-10-02T18:00,12.4,72,0.00,9.5,15.5
2022-10-02T19:00,11.8,78,0.00,8.6,18.1
2022-10-02T20:00,11.3,82,0.00,8.3,17.8
2022-10-02T21:00,11.1,84,0.00,8.1,18.1
2022-10-02T22:00,10.7,86,0.00,7.5,18.8
2022-10-02T23:00,10.2,88,0.00,7.0,18.8
