latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.54833,13.407822,38.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),apparent_temperature (°C),wind_speed_10m (km/h)
2025-04-27T00:00,6.3,65,0.00,2.8,9.4
2025-04-27T01:00,5.8,59,0.00,2.0,9.7
2025-04-27T02:00,5.3,59,0.00,1.4,9.9
2025-04-27T03:00,4.8,60,0.00,0.8,10.5
2025-04-27T04:00,4.2,62,0.00,0.2,11.0
2025-04-27T05:00,4.7,60,0.00,0.8,9.8
2025-04-27T06:00,6.1,56,0.00,2.2,10.0
2025-04-27T07:00,8.1,51,0.00,4.4,9.5
2025-04-27T08:00,10.4,45,0.00,6.7,9.8
2025-04-27T09:00,12.6,38,0.00,9.1,11.8
2025-04-27T10:00,14.0,34,0.00,10.9,12.7
2025-04-27T11:00,15.1,32,0.00,12.3,12.5
2025-04-27T12:00,16.0,29,0.00,13.2,12.7
2025-04-27T13:00,17.2,24,0.00,13.9,13.0
2025-04-27T14:00,17.2,26,0.00,13.4,13.5
2025-04-27T15:00,17.0,28,0.00,12.8,12.8
2025-04-27T16:00,16.8,29,0.00,12.7,11.9
2025-04-27T17:00,16.2,30,0.00,12.2,11.5
2025-04-27T18:00,15.1,33,0.00,11.3,9.9
2025-04-27T19:00,13.6,39,0.00,10.2,9.2
2025-04-27T20:00,12.7,43,0.00,9.2,10.4
2025-04-27T21:00,11.7,46,0.00,8.1,10.5
2025-04-27T22:00,10.7,50,0.00,7.3,9.5
2025-04-27T23:00,9.8,54,0.00,6.6,8.4
