latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.54833,13.407822,38.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),apparent_temperature (°C),wind_speed_10m (km/h)
2023-04-23T00:00,12.6,63,0.00,9.8,11.9
2023-04-23T01:00,12.5,67,0.00,10.0,11.3
2023-04-23T02:00,12.0,82,0.30,10.4,9.2
2023-04-23T03:00,12.2,83,0.10,10.8,8.6
2023-04-23T04:00,11.2,88,0.00,9.9,8.4
2023-04-23T05:00,11.9,88,0.00,10.5,10.1
2023-04-23T06:00,13.0,87,0.00,11.7,10.9
2023-04-23T07:00,13.5,87,0.50,12.3,11.0
2023-04-23T08:00,13.1,92,1.00,12.1,11.0
2023-04-23T09:00,13.4,89,0.60,11.8,14.3
2023-04-23T10:00,14.2,87,0.10,12.5,16.2
2023-04-23T11:00,13.9,85,0.50,12.1,16.1
2023-04-23T12:00,13.4,83,0.00,12.4,8.1
2023-04-23T13:00,15.1,72,0.10,13.4,12.7
2023-04-23T14:00,15.7,66,0.10,14.1,9.9
2023-04-23T15:00,16.2,63,0.00,14.8,7.9
2023-04-23T16:00,16.4,59,0.00,15.3,4.2
2023-04-23T17:00,15.6,76,0.00,15.6,2.6
2023-04-23T18:00,13.5,69,0.00,12.4,4.0
2023-04-23T19:00,10.9,83,0.00,9.3,7.2
2023-04-23T20:00,10.6,84,0.00,8.7,10.1
2023-04-23T21:00,10.2,87,0.00,8.1,11.3
2023-04-23T22:00,9.9,90,0.00,7.8,11.7
2023-04-23T23:00,9.9,92,0.00,7.7,13.4
